mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
smoke,3443763727,leases,5,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,6,5,337,0.5626043405676127,0,1,0,0.15,0.11275187087693454
smoke,3443763727,leases,7,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,leases,8,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,leases,9,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,leases,10,5,3,0.005008347245409015,1,0,0,0.15,0.11275187087693454
smoke,3443763727,leases,11,5,1,0.001669449081803005,4,0,0,0.15,0.11275187087693454
smoke,3443763727,leases,12,5,256,0.2994152046783626,0,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,13,5,1,0.0011695906432748538,1,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,14,5,0,0.0,1,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,15,5,0,0.0,1,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,16,5,0,0.0,1,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,17,5,0,0.0,1,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,18,5,747,0.8736842105263158,0,0,0,0.05,0.03589717124053717
smoke,3443763727,leases,19,5,0,0.0,2,0,0,0.05,0.03589717124053717
smoke,3443763727,leases_shortfall,0,4,848,0.991812865497076,0,0,0,0.0625,0.061710372267453295
smoke,3443763727,leases_shortfall,1,4,0,0.0,4,0,0,0.0625,0.061710372267453295
smoke,3443763727,leases_shortfall,2,5,594,0.6947368421052632,0,0,0,0.2,0.1586344970485877
smoke,3443763727,leases_shortfall,3,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,leases_shortfall,4,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,leases_shortfall,5,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,leases_shortfall,6,5,262,0.4373956594323873,0,1,0,0.2,0.1523844970485877
smoke,3443763727,leases_shortfall,7,5,0,0.0,0,1,0,0.2,0.1523844970485877
smoke,3443763727,leases_shortfall,8,5,0,0.0,0,1,0,0.2,0.1523844970485877
