seed,policy,schedule_hash,admissions,entrants_offered,mean_waiting_time,protected_agent_epochs,active_floor_epochs,infeasible_floor_epochs,discrete_floor_violations,floor_shortfall_total,scaled_floor_shortfall_total,mean_floor_shortfall,lease_expiries,mean_churn_frac,mean_incumbent_utility_change,worst_incumbent_loss,shortfall_epochs,mean_shortfall_scale,noop_events,capacity_violations
2850588118,permanent_floors,951438cc4194352a,5,5,2.8,420,99,4,34,184.6513859374017,0.0,5.430923115805932,0,0.06538174762885936,0.20551447822899047,-41.759433962264126,0,1.0,5,0
2850588118,leases,951438cc4194352a,5,5,1.4,392,99,5,33,202.79987495644178,0.0,6.145450756255812,35,0.07142259618853675,0.582636210309825,-75.34883720930232,0,1.0,5,0
2850588118,leases_shortfall,951438cc4194352a,5,5,1.4,392,99,5,26,2.3563219503656896,0.5005921256128261,0.09062776732175729,35,0.0680536122313175,0.5564847661255939,-75.34883720930232,5,0.9998379707336426,5,0
1337828505,reoptimize,2724063428defcd7,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07073110993182839,-0.11827791460787446,-30.80405405405405,0,1.0,5,0
1337828505,permanent_floors,2724063428defcd7,5,5,2.2,481,99,30,97,1639.440880247968,0.0,16.90145237369039,0,0.06982201902273749,0.3460260172667009,-30.80405405405405,0,1.0,5,0
1337828505,leases,2724063428defcd7,5,5,2.2,440,99,7,35,398.2412533701587,0.0,11.378321524861677,41,0.08187499149555728,0.17241146757747497,-56.270270270270274,0,1.0,5,0
1337828505,leases_shortfall,2724063428defcd7,5,5,2.2,440,99,7,45,178.57303375670642,14.96430947375029,3.9682896390379203,41,0.08000292552829599,0.17241146757747497,-45.637499999999996,7,0.924701452255249,5,0
1647620181,reoptimize,8dc93f0974243318,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.05605796539877886,-0.019114749166100776,-23.814432989690722,0,1.0,5,0
1647620181,permanent_floors,8dc93f0974243318,5,5,3.0,608,99,30,110,4379.038690136435,0.0,39.80944263760396,0,0.05576469176048419,0.267338729880485,-49.23936170212765,0,1.0,5,0
1647620181,leases,8dc93f0974243318,5,5,0.8,563,99,0,26,3.018230543993674,0.0,0.11608579015360285,56,0.06070159921492319,0.10104902149641959,-43.650793650793666,0,1.0,5,0
