mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
full,3443763727,permanent_floors,20,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,21,6,14,0.008888888888888889,0,0,0,0.0,0.0
full,3443763727,permanent_floors,22,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,23,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,24,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,25,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,26,6,290,0.18412698412698414,0,0,0,0.0,0.0
full,3443763727,permanent_floors,27,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,28,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,29,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,30,6,628,0.5693563009972802,0,1,0,0.0,0.0
full,3443763727,permanent_floors,31,6,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,32,6,649,0.5883952855847688,0,1,0,0.0,0.0
full,3443763727,permanent_floors,33,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,34,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,35,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,36,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,37,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,38,6,27,0.024478694469628286,0,1,0,0.0,0.0
full,3443763727,permanent_floors,39,6,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,40,5,296,0.26835902085222124,0,1,0,0.0,0.0
full,3443763727,permanent_floors,41,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,42,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,43,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,44,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,45,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,46,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,47,5,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,48,5,17,0.015412511332728921,0,1,0,0.0,0.0
full,3443763727,permanent_floors,49,5,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,50,5,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,51,5,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,52,5,0,0.0,1,1,0,0.0,0.0
full,3443763727,permanent_floors,53,4,261,0.23662737987307345,0,1,0,0.0,0.0
full,3443763727,permanent_floors,54,4,0,0.0,0,1,0,0.0,0.0
full,3443763727,permanent_floors,55,5,372,0.3372620126926564,0,0,0,0.16,0.15049192116325952
full,3443763727,permanent_floors,56,4,680,0.6165004533091568,0,0,0,0.0,0.0
full,3443763727,permanent_floors,57,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,58,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,59,4,145,0.1314596554850408,0,0,0,0.05,0.0423719423808831
full,3443763727,permanent_floors,60,4,517,0.32825396825396824,0,0,0,0.0,0.0
full,3443763727,permanent_floors,61,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,62,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,63,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,64,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,65,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,66,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,permanent_floors,67,4,441,0.28,0,0,0,0.0,0.0
full,3443763727,permanent_floors,68,4,1,0.0006349206349206349,1,0,0,0.0,0.0
full,3443763727,permanent_floors,69,4,77,0.04888888888888889,0,0,0,0.0,0.0
full,3443763727,permanent_floors,70,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,71,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,72,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,73,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,74,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,75,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,76,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,77,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,78,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,79,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,80,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,81,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,82,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,83,4,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,84,3,519,0.3295238095238095,0,0,0,0.19999999999999998,0.189643033709895
full,3443763727,permanent_floors,85,3,0,0.0,0,0,0,0.19999999999999998,0.189643033709895
full,3443763727,permanent_floors,86,3,0,0.0,0,0,0,0.19999999999999998,0.189643033709895
full,3443763727,permanent_floors,87,3,0,0.0,0,0,0,0.19999999999999998,0.189643033709895
