cell,regime,contention,seed,arm,solver_status,feasible,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,best_subset_completion_mean,best_subset_tasks_per_run,frac_zero_qo,frac_zero_bs,capacity_utilization,unused_installed_total,capacity_violation,bound_violation,alloc_latency_ms
dirichlet_0.1__high,dirichlet_0.1,high,171451216,central_joint_leontief,optimal,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.9279700654817586,77,0,0,624
dirichlet_0.1__high,dirichlet_0.1,high,171451216,distributed_price_leontief,preinstalled,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.9279700654817586,77,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,171451216,drf,drf,True,False,0.4791666666666667,23.0,0.5208333333333334,25.0,0.0,0.0,0.7885874649204865,106,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,171451216,equal,equal,True,False,0.3958333333333333,19.0,0.4166666666666667,20.0,0.0,0.0,0.6735266604303087,349,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,171451216,independent_bundle_maxmin,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8082319925163705,205,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,171451216,separable_leontief_relaxation,preinstalled,True,False,0.3958333333333333,19.0,0.4166666666666667,20.0,0.0,0.0,0.6735266604303087,349,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,214605580,central_joint_leontief,optimal,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9169526424159231,120,0,0,626
dirichlet_0.1__high,dirichlet_0.1,high,214605580,distributed_price_leontief,preinstalled,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9169526424159231,121,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,214605580,drf,drf,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.8943033630748113,122,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,214605580,equal,equal,True,False,0.4583333333333333,22.0,0.4791666666666667,23.0,0.0,0.0,0.8517501715854495,216,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,214605580,independent_bundle_maxmin,preinstalled,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9183253260123542,119,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,214605580,separable_leontief_relaxation,preinstalled,True,False,0.4583333333333333,22.0,0.4791666666666667,23.0,0.0,0.0,0.8517501715854495,216,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,215326899,central_joint_leontief,optimal,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8786516853932584,106,0,0,625
dirichlet_0.1__high,dirichlet_0.1,high,215326899,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.852808988764045,131,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,215326899,drf,drf,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.7865168539325843,83,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,215326899,equal,equal,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.8112359550561797,168,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,215326899,independent_bundle_maxmin,preinstalled,True,False,0.5208333333333334,25.0,0.5416666666666666,26.0,0.0,0.0,0.9213483146067416,70,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,215326899,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.8112359550561797,168,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,251198272,central_joint_leontief,optimal,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.9110204081632653,108,0,0,621
dirichlet_0.1__high,dirichlet_0.1,high,251198272,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.9110204081632653,109,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,251198272,drf,drf,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.9053061224489796,83,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,251198272,equal,equal,True,False,0.4583333333333333,22.0,0.5,24.0,0.0,0.0,0.8604081632653061,171,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,251198272,independent_bundle_maxmin,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8416326530612245,194,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,251198272,separable_leontief_relaxation,preinstalled,True,False,0.4583333333333333,22.0,0.5,24.0,0.0,0.0,0.8604081632653061,171,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,278470677,central_joint_leontief,optimal,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8953488372093024,142,0,0,648
dirichlet_0.1__high,dirichlet_0.1,high,278470677,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8953488372093024,144,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,278470677,drf,drf,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.8808139534883721,137,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,278470677,equal,equal,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.8226744186046512,244,0,0,0
