cell,contention,seed,central_status,central_objective,distributed_objective,rel_obj_gap,distributed_converged,iterations,message_count,runtime_ms,capacity_residual,bound_residual,primal_residual,dual_residual,cont_alloc_l1_norm,cont_alloc_linf,installed_alloc_l1_norm,installed_alloc_linf,installed_outcome_disagreements,technically_valid
dirichlet_0.1__moderate,moderate,516112135,optimal,328.3317888447773,328.3317097369668,2.4093862731056975e-07,True,8000,80000,424,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0009127276447907966,0.2228349113878494,0.0013879250520471894,1.0,0,True
dirichlet_0.1__moderate,moderate,553435265,optimal,342.69984848223197,342.6998486486135,4.855022270763986e-10,True,8000,80000,428,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0010510099278281495,0.8702017626973486,0.0010449320794148381,1.0,0,True
dirichlet_0.1__moderate,moderate,567887676,optimal,320.4943938773579,320.4932029866594,3.7157926042317647e-06,True,8000,80000,554,9.999894245993346e-10,0.0,9.999894245993346e-10,2.377056421042433e-17,0.002591448281327275,0.5507321437655861,0.004758128469468675,1.0,1,True
dirichlet_0.1__moderate,moderate,570058452,optimal,330.9787165286064,330.9785998819877,3.524293644766105e-07,True,8000,80000,813,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0013193730714227713,1.659297998846359,0.002652519893899204,2.0,0,True
dirichlet_0.1__moderate,moderate,571665946,optimal,325.48536883758334,325.4853692519338,1.2730232387539787e-09,True,6660,66600,391,6.963318810448982e-12,0.0,6.963318810448982e-12,0.0,0.0012282315931391617,0.3013002425725375,0.0014534883720930232,1.0,0,True
dirichlet_0.1__moderate,moderate,610850603,optimal,348.18479285999683,348.18479325348653,1.1301174191396154e-09,True,8000,80000,540,9.999894245993346e-10,0.0,9.999894245993346e-10,6.930325807860972e-24,0.0009305091060723496,0.24186056859593918,0.0014691478942213516,1.0,0,True
dirichlet_0.1__moderate,moderate,624291094,optimal,329.4177338362802,329.41758120915705,4.6332394245886337e-07,True,8000,80000,691,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0007802530044757996,0.5402328999236801,0.0,0.0,0,True
dirichlet_0.1__moderate,moderate,626101394,optimal,342.52891311086614,342.5271091501751,5.266593919560535e-06,True,8000,80000,666,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0018063953559567666,1.0205909105347448,0.000531632110579479,1.0,0,True
dirichlet_0.1__moderate,moderate,631912891,optimal,311.7742309574685,311.77423134168885,1.2323672668002553e-09,True,3636,36360,183,8.412825991399586e-12,0.0,8.412825991399586e-12,3.072617235719352e-28,0.0024921612342930473,0.5382653773590249,0.004545454545454545,1.0,0,True
dirichlet_0.1__moderate,moderate,636323273,optimal,333.6643920179019,333.66439223362477,6.465265186933409e-10,True,2930,29300,244,3.035438567167148e-11,0.0,3.035438567167148e-11,0.0,0.004008007914961504,2.5724754753986474,0.004987531172069825,2.0,0,True
dirichlet_0.1__moderate,moderate,665358464,optimal,335.74266597443784,335.74266638304005,1.2170100673081649e-09,True,8000,80000,425,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0023662695069401446,1.034304158989471,0.0029797377830750892,1.0,0,True
dirichlet_0.1__moderate,moderate,695586742,optimal,334.8088605480606,334.80886093643966,1.1600023894090825e-09,True,2208,22080,186,4.638422979041934e-11,0.0,4.638422979041934e-11,1.7383308520124775e-28,0.006475270651118151,3.391808565467535,0.007765830346475508,4.0,1,True
dirichlet_0.1__moderate,moderate,759882551,optimal,357.5730597134955,357.5699320289126,8.746980506381461e-06,True,8000,80000,566,9.99875737761613e-10,0.0,9.99875737761613e-10,0.0,0.00025263451523114936,0.1243123991756594,0.0008003201280512205,1.0,0,True
dirichlet_0.1__moderate,moderate,815481791,optimal,333.92819293821043,333.9281933283174,1.168236033626485e-09,True,5192,51920,440,1.3585577107733116e-11,0.0,1.3585577107733116e-11,0.0,0.0026829515175362437,2.4648833163006643,0.002504696305572949,2.0,0,True
dirichlet_0.1__moderate,moderate,817137978,optimal,344.57211154859135,344.5719530986223,4.598455990043215e-07,True,8000,80000,541,9.99875737761613e-10,0.0,9.99875737761613e-10,0.0,0.001924127374930861,1.3982993428619963,0.002612330198537095,2.0,0,True
dirichlet_0.1__moderate,moderate,817397877,optimal,330.978137183388,330.9781375320811,1.0535230796702463e-09,True,3322,33220,219,2.489741746103391e-11,0.0,2.489741746103391e-11,0.0,0.004878806394611895,2.242715378781611,0.007838014369693011,2.0,0,True
dirichlet_0.1__moderate,moderate,820796292,optimal,352.6001214224244,352.6001216842141,7.424549171074554e-10,True,1907,19070,101,6.934897101018578e-11,0.0,6.934897101018578e-11,1.5321676242805394e-28,0.007148267491159769,3.5260631962415587,0.008071748878923767,4.0,0,True
dirichlet_0.1__moderate,moderate,836948274,optimal,313.3452825139263,313.3452828761852,1.156101343159151e-09,True,4830,48300,249,4.206412995699793e-12,0.0,4.206412995699793e-12,0.0,0.0015778541514664135,0.41961470629112796,0.0026642984014209592,1.0,0,True
dirichlet_0.1__moderate,moderate,850954452,optimal,340.0614494737202,340.0597085002546,5.119584911143082e-06,True,8000,80000,709,1.0000036354540498e-09,0.0,1.0000036354540498e-09,0.0,0.0006166370072628093,0.3456220654109572,0.0005659309564233164,1.0,0,True
dirichlet_0.1__moderate,moderate,874361190,optimal,331.46849957513274,331.468499880993,9.227431362882293e-10,True,2299,22990,121,3.1377567211166024e-11,0.0,3.1377567211166024e-11,0.0,0.005491185049728254,4.3042527099637695,0.00520494469746259,4.0,0,True
dirichlet_0.1__moderate,moderate,892263153,optimal,340.2952221903751,340.29461149378824,1.7946081727049448e-06,True,8000,80000,693,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0017149013914896905,1.0851044387424764,0.0027917364600781687,1.0,0,True
dirichlet_0.1__moderate,moderate,930016503,optimal,340.02000188879623,340.0199605960296,1.2144216931212893e-07,True,8000,80000,680,9.999894245993346e-10,0.0,9.999894245993346e-10,8.213111935642306e-20,0.0010462799335520317,0.7862889101137718,0.0005662514156285391,1.0,0,True
dirichlet_0.1__moderate,moderate,935504160,optimal,326.1416789502507,326.1416791240371,5.328555942447849e-10,True,8000,80000,545,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0011713605487699895,0.3344596940637956,0.0007189072609633358,1.0,0,True
dirichlet_0.1__moderate,moderate,952458876,optimal,353.1985317880385,353.1985320783881,8.220577481864054e-10,True,4809,48090,336,2.9046987037872896e-11,0.0,2.9046987037872896e-11,0.0,0.004382403458039444,2.457364632191407,0.004923903312444047,3.0,0,True
dirichlet_0.1__moderate,moderate,952822154,optimal,364.9926405001186,364.99264060603286,2.90181848630483e-10,True,3422,34220,182,6.571099220309407e-11,0.0,6.571099220309407e-11,0.0,0.0021425439771839572,2.399094476919011,0.0029706646862235424,2.0,0,True
dirichlet_0.1__moderate,moderate,955270347,optimal,319.082355542162,319.0823559164184,1.1729147073100417e-09,True,8000,80000,414,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0009132773801748041,0.15429618879857276,0.0016286644951140066,1.0,0,True
dirichlet_0.1__moderate,moderate,967298099,optimal,335.5972847171489,335.5972849600566,7.238070314662608e-10,True,2540,25400,130,1.8474111129762605e-11,0.0,1.8474111129762605e-11,0.0,0.0034436272516727468,1.8558719751257016,0.006067961165048544,2.0,0,True
dirichlet_0.1__moderate,moderate,984930118,optimal,327.90906214294097,327.9090624572228,9.584419651573895e-10,True,6112,61120,316,6.139089236967266e-12,0.0,6.139089236967266e-12,0.0,0.0013570829714295686,0.33705333855405684,0.004158004158004158,1.0,0,True
dirichlet_0.1__moderate,moderate,996168124,optimal,338.0268775878345,338.0268777603286,5.102969451664551e-10,True,2509,25090,138,2.3305801732931286e-11,0.0,2.3305801732931286e-11,1.7763568394002505e-28,0.0040519044025514655,1.0892450797702793,0.005759162303664921,2.0,0,True
dirichlet_0.1__moderate,moderate,999012690,optimal,321.12190204532004,321.12187964156,6.976715046007806e-08,True,8000,80000,426,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0019277326892783312,1.0992919056034935,0.005251312828207052,1.0,0,True
dirichlet_0.1__moderate,moderate,1032888065,optimal,344.50123160293026,344.5008659518539,1.061392653598487e-06,True,8000,80000,551,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0022474033181923655,0.9469278105759642,0.003713527851458886,1.0,1,True
dirichlet_0.1__moderate,moderate,1039704879,optimal,331.8228411076259,331.8228415315282,1.2774958209874845e-09,True,6617,66170,445,1.1482370609883219e-11,0.0,1.1482370609883219e-11,0.0,0.002293500383623575,2.0991884596834254,0.0038634900193174502,2.0,0,True
dirichlet_0.1__moderate,moderate,1050570396,optimal,335.11417867931533,335.1141788893435,6.267362103945339e-10,True,2170,21700,110,4.206412995699793e-11,0.0,4.206412995699793e-11,0.0,0.009592957892734483,6.425004744350041,0.0102843315184513,6.0,1,True
dirichlet_0.1__moderate,moderate,1087495274,optimal,330.7623527750054,330.76232967231766,6.984678744363642e-08,True,8000,80000,417,9.999894245993346e-10,0.0,9.999894245993346e-10,1.7923303122802347e-20,0.0008484200212470532,0.34871380691345166,0.0033156498673740055,1.0,0,True
dirichlet_0.1__moderate,moderate,1102475274,optimal,345.3748592901233,345.37485967778167,1.122427849323288e-09,True,3619,36190,247,3.433342499192804e-11,0.0,3.433342499192804e-11,1.4000842083942861e-28,0.006653883808630811,4.715324726147557,0.0081799591002045,5.0,0,True
dirichlet_0.1__moderate,moderate,1133305872,optimal,347.94970123576445,347.94970080574967,1.2358532794047616e-09,True,8000,80000,540,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0010781997542989791,0.44023404463567317,0.00149402390438247,1.0,0,True
dirichlet_0.1__moderate,moderate,1143766233,optimal,337.1864371732075,337.1864376313838,1.3588219036433144e-09,True,8000,80000,806,4.75210981676355e-11,0.0,4.75210981676355e-11,4.440127114771562e-14,0.000965734496366623,0.3531687160598125,0.0017615971814445098,1.0,0,True
dirichlet_0.1__moderate,moderate,1154336374,optimal,362.50792376625316,362.5079238761086,3.0304281246822147e-10,True,6201,62010,329,2.7284841053187847e-11,0.0,2.7284841053187847e-11,0.0,0.0027819788494778145,1.4634425932579873,0.003885003885003885,2.0,0,True
dirichlet_0.1__moderate,moderate,1169070121,optimal,351.17374888905,351.17372169046627,7.745050365827189e-08,True,8000,80000,678,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0010683559217500964,0.4518308627618097,0.0013489208633093526,1.0,0,True
dirichlet_0.1__moderate,moderate,1187549093,optimal,328.5225553690492,328.52235559825215,6.080885278294488e-07,True,8000,80000,442,9.999894245993346e-10,0.0,9.999894245993346e-10,1.2324907927739423e-19,0.0019096533650599056,0.7850469432052876,0.0033806626098715348,1.0,0,True
dirichlet_0.1__moderate,moderate,1221630303,optimal,339.9836130592678,339.9833902468383,6.553622612900952e-07,True,8000,80000,679,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.001859545751854161,1.2052646509782932,0.003972758229284903,2.0,0,True
dirichlet_0.1__moderate,moderate,1221963468,optimal,333.2137974149751,333.2137977246273,9.292898315325348e-10,True,8000,80000,411,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0008600454547159022,0.20682294876765184,0.0012594458438287153,1.0,0,True
dirichlet_0.1__moderate,moderate,1244412151,optimal,316.2694084287205,316.26940869380894,8.381728492904169e-10,True,3808,38080,190,9.634959496906959e-12,0.0,9.634959496906959e-12,2.793288396108502e-28,0.0021889688882734573,0.5820797907227302,0.0024896265560165973,1.0,0,True
dirichlet_0.1__moderate,moderate,1244924414,optimal,343.4212609437874,343.42113279807126,3.7314438768424713e-07,True,8000,80000,684,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.003586549424032468,2.72204346769211,0.0042395336512983575,3.0,0,True
dirichlet_0.1__moderate,moderate,1254323997,optimal,348.26737839183534,348.2673788020624,1.1779084091601694e-09,True,8000,80000,565,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0008759806541917189,0.26872831462215174,0.0014684287812041115,1.0,0,True
